threshold,n,n_pos,TN,FP,FN,TP,Accuracy,Sensitivity,Specificity,Precision,NPV,F1,BalancedAcc,MCC,Kappa,AUROC,AUPRC,class,tag,display
0.5,597.0,17.333333333333332,568.1666666666666,11.5,15.0,2.3333333333333335,0.9556113902847571,0.07745098012906575,0.9796202907302057,0.07761437868215751,0.9738333123666744,0.07107843123954728,0.5285356356456555,0.058374448289089664,0.055746301012558265,0.8332267577105984,0.17833938623931714,macro-average,attention_unet,Attention U-Net
0.5,597.0,10.0,587.0,0.0,10.0,0.0,0.983249581239531,0.0,0.9999999998296423,0.0,0.9832495810748326,0.0,0.5,0.0,0.0,0.8851788756388415,0.12728733099885803,Intraventricular,unetpp,U-Net++
0.5,597.0,18.0,579.0,0.0,18.0,0.0,0.9698492462311558,0.0,0.9999999998272885,0.0,0.969849246068702,0.0,0.5,0.0,0.0,0.8380349261178277,0.20085517810988684,Intraparenchymal,unetpp,U-Net++
0.5,597.0,9.0,588.0,0.0,9.0,0.0,0.9849246231155779,0.0,0.999999999829932,0.0,0.9849246229505989,0.0,0.5,0.0,0.0,0.6768707482993197,0.07589909802201773,Subarachnoid,unetpp,U-Net++
0.5,597.0,34.0,542.0,21.0,24.0,10.0,0.9246231155778895,0.2941176461937716,0.962699822209112,0.3225806441207076,0.9575971729756896,0.3076923072189349,0.628408734719465,0.268243468308755,0.2679238084857072,0.737801692613102,0.3330185592878452,Epidural,unetpp,U-Net++
0.5,597.0,8.0,589.0,0.0,8.0,0.0,0.9865996649916248,0.0,0.9999999998302208,0.0,0.9865996648263653,0.0,0.5,0.0,0.0,0.8694821731748726,0.05216067772010233,Subdural,unetpp,U-Net++
0.5,597.0,25.0,566.0,6.0,20.0,5.0,0.9564489112227805,0.1999999992,0.9895104893374982,0.4545454504132232,0.9658703070024113,0.27777777700617284,0.5947552447552448,0.2822644093754953,0.25881004679591246,0.8196503496503497,0.2672247464591596,Fracture,unetpp,U-Net++
0.5,597.0,17.333333333333332,575.1666666666666,4.5,14.833333333333334,2.5,0.9676158570630933,0.08235294089896193,0.9920350518106158,0.12952101575565514,0.9746817658164334,0.09757834737085129,0.5371939965791183,0.09175131294737504,0.08778897588026995,0.8045031275823855,0.17607426509964497,macro-average,unetpp,U-Net++
0.5,597.0,10.0,587.0,0.0,10.0,0.0,0.983249581239531,0.0,0.9999999998296423,0.0,0.9832495810748326,0.0,0.5,0.0,0.0,0.7466780238500851,0.3103515021335408,Intraventricular,hemofusion,HemoFusion-Net (proposed)
0.5,597.0,18.0,579.0,0.0,18.0,0.0,0.9698492462311558,0.0,0.9999999998272885,0.0,0.969849246068702,0.0,0.5,0.0,0.0,0.8792938015735943,0.28653847725956,Intraparenchymal,hemofusion,HemoFusion-Net (proposed)
0.5,597.0,9.0,588.0,0.0,9.0,0.0,0.9849246231155779,0.0,0.999999999829932,0.0,0.9849246229505989,0.0,0.5,0.0,0.0,0.921201814058957,0.12544920483676616,Subarachnoid,hemofusion,HemoFusion-Net (proposed)
0.5,597.0,34.0,556.0,7.0,22.0,12.0,0.9514237855946399,0.35294117543252596,0.9875666072846241,0.6315789440443214,0.9619377160965507,0.4528301878248487,0.6702538919653119,0.449552047997809,0.42953639329137694,0.8294849023090586,0.39597107975248086,Epidural,hemofusion,HemoFusion-Net (proposed)
0.5,597.0,8.0,586.0,3.0,8.0,0.0,0.981574539363484,0.0,0.9949066212232757,0.0,0.9865319863659038,0.0,0.49745331069609505,-0.008282372346597,-0.007363092498849477,0.8531409168081494,0.050580675502760616,Subdural,hemofusion,HemoFusion-Net (proposed)
0.5,597.0,25.0,568.0,4.0,20.0,5.0,0.9597989949748744,0.1999999992,0.9930069928333904,0.5555555493827161,0.9659863943935398,0.2941176461937716,0.5965034965034965,0.317271561156033,0.27811366384522374,0.8641258741258742,0.31488898704984364,Fracture,hemofusion,HemoFusion-Net (proposed)
0.5,597.0,17.333333333333332,577.3333333333334,2.3333333333333335,14.5,2.8333333333333335,0.9718034617532104,0.09215686243875432,0.9959133701380255,0.19785574890450622,0.9754132578250214,0.12449130566977006,0.544035116527484,0.12642353946787419,0.11671449410629187,0.8489875554542864,0.24729665442249205,macro-average,hemofusion,HemoFusion-Net (proposed)
